uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs,is_2025,sentiment_agronegocio,contexto_agronegocio
at://did:plc:jen6prsjozhgeakrmrobd3ez/app.bsky.feed.post/3lv4mzmc2tc25,bafyreidtkfec4cvq472kytkpxtyksljqlzusbwkd6rgqqcsgcbs6nlzuke,did:plc:jen6prsjozhgeakrmrobd3ez,laurodesousa.bsky.social,Lauro de Sousa,"foda-se o agronegócio.
eu quero encher o meu rabo de suco de laranja e que os estraguenses fiquem com escorbuto.",2025-07-29T17:29:12.458Z,0,0,1,2025-07-29T17:29:13.208Z,['pt'],True,negativo,contexto_positivo
at://did:plc:6iwfq5klg5sc2hywfaimfk3r/app.bsky.feed.post/3lv4ltirqj22i,bafyreibrkg3ig3esob4mclhumrjpoebcocy6unw6tn7xirjpmwxasurl3q,did:plc:6iwfq5klg5sc2hywfaimfk3r,deolhonoagro.bsky.social,De Olho nos Ruralistas,"📅 Terça-feira, 29/07, às 19h
📍 No canal do podcast no YouTube
youtu.be/PvwaspO_Wjk?...

#DeOlhoNosRuralistas #Agrogolpistas #Agronegócio #JornalismoInvestigativo #Podcast #AondeVamosPodcast",2025-07-29T17:07:51.137Z,0,1,3,2025-07-29T17:07:57.227Z,['pt'],True,neutro,nao_relacionado
at://did:plc:6iwfq5klg5sc2hywfaimfk3r/app.bsky.feed.post/3lv4ltgdbrc2i,bafyreihusxuz72av3caos5ukd3ovtu7n5plz7pkizwtirnzt3nqxrewcju,did:plc:6iwfq5klg5sc2hywfaimfk3r,deolhonoagro.bsky.social,De Olho nos Ruralistas,"🎙 Alceu Castilho e Bruno Bassi — diretor e coordenador do observatório De Olho — são os convidados do novo episódio do Aonde Vamos? Podcast.

Na conversa, eles revelam bastidores do estudo Agrogolpistas, sobre os empresários do agronegócio que financiaram atos antidemocráticos.",2025-07-29T17:07:51.136Z,1,2,9,2025-07-29T17:07:57.211Z,['pt'],True,positivo,contexto_positivo
at://did:plc:i53huyxt32omxtob7sntqsl5/app.bsky.feed.post/3lv4lr7oj222o,bafyreiec3sgz4szxkhooyxpkqpxz7u4kpcyvduboepcdj6ocf7m2ygvyny,did:plc:i53huyxt32omxtob7sntqsl5,gustavogn.bsky.social,Gustavo Nogueira,Agora é a hora de a militância juntar a experiência empírica de sentir os preços de alimentos mais baixos com a teoria que explica por que os preços eram altos e fazer um belo de um trabalho de formação política anti capitalismo e anti agronegócio.,2025-07-29T17:06:37.057Z,1,0,2,2025-07-29T17:09:43.411Z,['pt'],True,positivo,contexto_positivo
at://did:plc:gkivphikfy4olkmweuogups6/app.bsky.feed.post/3lv4ks3wgnk2o,bafyreifafgtvb3prco7i4zn7vcupnvyzpbhwmqgh37qrhshpokar5d3w3q,did:plc:gkivphikfy4olkmweuogups6,procurandosair.bsky.social,,"O medo da mídia hegemônica é exatamente que o povo acorde e perceba que só quem lucra com o exportação é o Agronegócio 
Enquanto a gente fica pagando caro nos nossos produtos por aqui 
Pois por mim o Trump pode colocar taxa de 100% 😂
Eu quero mais é fazer churrasco 
youtube.com/shorts/W9-ko...",2025-07-29T16:49:12.933Z,0,0,3,2025-07-29T16:49:14.408Z,['en'],True,negativo,contexto_positivo
at://did:plc:6gq6kvnl23z35wgyrqaecxyy/app.bsky.feed.post/3lv4ingb4ik2f,bafyreigbscmxiabyj2uhj3j5obxicscewn7erktkrghi6a63a4jxp6zomy,did:plc:6gq6kvnl23z35wgyrqaecxyy,alanmm.dev,piratariaonline,"Sem esperança nenhuma de resposta né?

Já que a declaração foi feita na assessoria de comunicação do agronegócio.",2025-07-29T16:10:48.514Z,1,0,4,2025-07-29T16:10:50.107Z,['pt'],True,positivo,contexto_positivo
at://did:plc:hllnbe7rsxz574hbc2awer7w/app.bsky.feed.post/3lv4heu5ork2r,bafyreihtwhlkrb3cwdcxkz3fb6tid7ljxld2sgnwwqxh7m47kh3nkstyam,did:plc:hllnbe7rsxz574hbc2awer7w,agatemiele.bsky.social,🌻Mulher que Fala Muito🌻,"Ora ora ora ora ora ora então não eram os impostos? Era a mão do agroNEGÓCIO 

Quem diria",2025-07-29T15:48:07.351Z,0,9,76,2025-07-29T15:48:08.507Z,['pt'],True,positivo,contexto_positivo
at://did:plc:t3vyvbzndritey7tpkwazkxc/app.bsky.feed.post/3lv4gpmpyfk2k,bafyreihtgpx7q746k7mm5sbmbtgmz6qn7laa4nztroliarvyznqdesiqca,did:plc:t3vyvbzndritey7tpkwazkxc,pattrodriguez.bsky.social,Patt Rodriguez,"Representante do Citrus BR (produtores de cítricos) agora na Globonews dizendo que baixar os preços de suco de laranja no Brasil por aumento de oferta ""é um cenário de perda para todo mundo"". 

Percebe, Ivair, como literalmente deixar na mão do agronegócio nos faz passar fome e pagar caro?",2025-07-29T15:36:14.918Z,38,349,1396,2025-07-29T15:36:16.909Z,['pt'],True,negativo,contexto_positivo
at://did:plc:5apjwsaij3yrgd7fvl3jgayj/app.bsky.feed.post/3lv4eugxkjs2y,bafyreiaxfcadsahpnbf7ngjccm3l5t42jrmegx3bxigkh3z2fakkwweffa,did:plc:5apjwsaij3yrgd7fvl3jgayj,cientistamaluco.bsky.social,Cientista maluco,"Quem é o “pessoal do agro”? Quais os nomes dos empresários do agronegócio que financiaram a intentona golpista liderada por Jair Bolsonaro?

mst.org.br/2025/06/26/e...",2025-07-29T15:03:09.163Z,0,0,6,2025-07-29T15:02:36.408Z,['pt'],True,positivo,contexto_positivo
at://did:plc:fddwqzxflwvbpbuhzec4r4zl/app.bsky.feed.post/3lv4cjqlz2227,bafyreiawq3r24qd4jsvijacwps2rqdf3artzfb5mouwl6q33u4ylbrek5u,did:plc:fddwqzxflwvbpbuhzec4r4zl,fabridosreis.bsky.social,fabridosreis ,"O pior congresso de nossa história tem mais de 40 projetos para detonar a natureza, além do PL da devastação, isso beneficia apenas os reis do agronegócio, com R$ 30 bilhões. Em 2026 temos que ficar conscientes e mudar o rumo de nossa democracia.",2025-07-29T14:21:22.575Z,5,32,105,2025-07-29T14:21:31.305Z,['pt'],True,negativo,contexto_positivo
at://did:plc:3r4okkyvydce74deotkufalv/app.bsky.feed.post/3lv4bz2q4hs2s,bafyreigcvrq26v7h3tzxsnstczqoph7yr7z4x2fvkimknomdkcp6xrslhe,did:plc:3r4okkyvydce74deotkufalv,cpisp.bsky.social,Comissão Pró-Índio de São Paulo,"""O projeto é um dos mais graves retrocessos da democracia recente em termo de marco legal para proteção ambiental. Não podemos deixar que uma minoria vinculada ao agronegócio e à especulação imobiliária destrua nossas perspectivas de futuro"", diz Beto Marubo👇
oglobo.globo.com/brasil/notic...",2025-07-29T14:12:02.855Z,0,1,1,2025-07-29T14:12:08.907Z,['pt'],True,negativo,critica_explicita
at://did:plc:q2z4dztr6tzbwfeajt3kjalm/app.bsky.feed.post/3lv45yyegv22r,bafyreifipz5ivphbfqoas4n5hzzuvuldw7zuuy6zilqw3wrve7gfsxlnae,did:plc:q2z4dztr6tzbwfeajt3kjalm,mom4makeup.bsky.social,martasanthi,"A verdade é que o agronegócio no Brasil tava precisando de um chacoalhão...há tempos a qualidade dos alimentos está terrível, frutas e legumes estão intragáveis e caros. Aonde iríamos parar?",2025-07-29T13:00:25.436Z,0,0,0,2025-07-29T13:00:26.409Z,['pt'],True,negativo,contexto_positivo
at://did:plc:ualigto5px5t26dd6n6kq6jc/app.bsky.feed.post/3lv43vja4rs2i,bafyreifurjehnczexe4d4266wcnb73rvmjrfyrltj6fp3gg4tdcla4ivwm,did:plc:ualigto5px5t26dd6n6kq6jc,torukodaich.bsky.social,Yukhen 🏳️‍⚧️,"""Tem características pra agradar o paladar americano"" ou seja, é uma fruta de melhor qualidade que ele botam pra fora do país enquanto aqui a gente fica com os restos, seguindo o velho padrão do agronegócio brasileiro.",2025-07-29T12:22:41.420Z,0,0,1,2025-07-29T12:22:41.902Z,['pt'],True,negativo,contexto_positivo
at://did:plc:dk644jtqur3mvxphdwuawi25/app.bsky.feed.post/3lv3zyoaxmc2d,bafyreicsrkb43y7dfgfu4o3ojhztmcu4rgzrhsah56ubgxndd36muxrqxa,did:plc:dk644jtqur3mvxphdwuawi25,marcianobrito.bsky.social,Marciano Brito,"agenciagov.ebc.com.br/noticias/202... (Governo Federal libera de R$ 7 bilhões para desenvolver do setor cafeeiro. Recurso são serão destinados ao financiamento da cafeicultura no Ana Safra 25/26).

É uma prática comum no agronegócio: alguns especuladores...",2025-07-29T11:48:39.869Z,0,0,0,2025-07-29T11:48:45.705Z,['pt'],True,positivo,contexto_positivo
at://did:plc:huc54kfiozknlko7qxnj7jgz/app.bsky.feed.post/3lv3zvzzuh226,bafyreibetgxdne6644rzmapvvlvlmidlud45vhszhkvtp2kmgt46rs3wba,did:plc:huc54kfiozknlko7qxnj7jgz,yrs-pa.bsky.social,Yago Santos,"Data center… Mais termelétrica… Mais grana pro agronegócio… 

Água tá sobrando parece",2025-07-29T11:47:11.557Z,0,5,24,2025-07-29T11:47:12.607Z,['en'],True,positivo,contexto_positivo
at://did:plc:rdeuo5ifhx53xwoi2lwfhvdg/app.bsky.feed.post/3lv3yvcpfkk2u,bafyreie22m5y3k6fkf3o4vwaecx5hu6jp4x3ckmitsjfatemq43n3qs5mi,did:plc:rdeuo5ifhx53xwoi2lwfhvdg,aquelavanvan.bsky.social,Lady V,Rindo da cara do nosso agronegócio,2025-07-29T11:28:53.354Z,0,0,3,2025-07-29T11:28:53.304Z,['pt'],True,negativo,contexto_positivo
at://did:plc:vwot556jqi3rkx4xmfq4olpw/app.bsky.feed.post/3lv3ukymm3c2t,bafyreie2xxbeu56anhkjb2rn2co2kflp4vemjcjy7o5clpfgzwze3ybx3q,did:plc:vwot556jqi3rkx4xmfq4olpw,dionaragsantana.bsky.social,Dionara #FreePalestine 🇵🇸🍉 Gonçalves de Santana,"Lino, sou minuciosa. Apenas para pontuar que na minha monografia desnudo o município de Lem-BA c/ maior concentração de brancos sulistas ligados ao agronegócio e seus dominados em que destoa de todo o estado da Bahia no mapa de votação:lá o nazifascista boçalnaro teve mais número de votos.",2025-07-29T10:11:32.265Z,0,1,1,2025-07-29T10:11:34.406Z,['pt'],True,positivo,contexto_positivo
at://did:plc:vwot556jqi3rkx4xmfq4olpw/app.bsky.feed.post/3lv3ug5czpk2t,bafyreifi5t4oddgr7z4bhspqwfxkiemvvbuvhmurzeur63aashhvpxrvuy,did:plc:vwot556jqi3rkx4xmfq4olpw,dionaragsantana.bsky.social,Dionara #FreePalestine 🇵🇸🍉 Gonçalves de Santana,"O agronegócio predador,concentrador aqui na minha região oeste da Bahia em que sulistas brancos vieram pra cá desmatar o cerrado,matar os animais e explorar foi impulsionado pela ditadura militar,entendeu? Isso antes de eu nascer,no final da década de 70. Eu relato isso.Agronegócio é geopolítica.",2025-07-29T10:08:49.421Z,0,1,0,2025-07-29T10:08:52.005Z,['pt'],True,negativo,contexto_positivo
at://did:plc:lou5kwekyqpoqxidw5qcyuta/app.bsky.feed.post/3lv3sfyizn225,bafyreicvbksr3gme2innehavxjaa5nvwi4wosdfk3iajql7bhiugkfd2da,did:plc:lou5kwekyqpoqxidw5qcyuta,lcrftraider.bsky.social,Tomb Raider 🥷🏼,"O agronegócio pode vender tudo o que era pros EUA para os brasileiros,  mas eles acreditam que abaixar os preço vai diminuir o valor agregado do produto...",2025-07-29T09:32:56.893Z,0,0,3,2025-07-29T09:32:57.203Z,['pt'],True,negativo,contexto_positivo
at://did:plc:vwot556jqi3rkx4xmfq4olpw/app.bsky.feed.post/3lv2smlddtc2n,bafyreig45w52xn4tue2txylykvckngmchbf3eoxjbyorqeasi7kjwivttm,did:plc:vwot556jqi3rkx4xmfq4olpw,dionaragsantana.bsky.social,Dionara #FreePalestine 🇵🇸🍉 Gonçalves de Santana,"Leia o livro 📕!Fiz algo interessante na minha monografia do curso de Direito.É sobre a Dto Ambiental.Cito sobre o Constitucionalismo ambiental;a vinda de sulistas brancos ligados ao agronegócio na minha região da Bahia; uso de água na irrigação, desmatamento;desmantelo do IBAMA por boçalnaro,etc...",2025-07-29T00:03:58.215Z,0,1,0,2025-07-29T00:04:01.203Z,['pt'],True,neutro,contexto_neutro
at://did:plc:6okfkqs5whr275g4aahfnboz/app.bsky.feed.post/3lv2sihe4aa26,bafyreifq2ogffft3yen5vblxnmzgb6b3dvempxwmsyn6hg5g7qgjpgtjs4,did:plc:6okfkqs5whr275g4aahfnboz,apublica.org,Agência Pública,"CONFLITO | Em abril, reportamos como uma crise vem se instalando na comunidade Pataxó, na Bahia, pela venda de terrenos indígenas por ex-líderes da aldeia Xandó. Grupo também vive rotina de violência e ameaças por narcotraficantes ligados ao agronegócio.",2025-07-29T00:01:39Z,3,14,49,2025-07-29T00:01:40.107Z,[],True,negativo,contexto_positivo
at://did:plc:go72ebdmstxpkiqdyheuzrol/app.bsky.feed.post/3lv2pbrt2js2v,bafyreicklfetxrouctoe2jv7jqlh6vxs6ym3bimz722vu52ohd5wl3ocim,did:plc:go72ebdmstxpkiqdyheuzrol,pdpera.bsky.social,Pé de Pera ,O patrocínio do Agronegócio é maior que a visão do que é real,2025-07-28T23:04:14.698Z,0,0,2,2025-07-28T23:04:17.303Z,['pt'],True,positivo,contexto_positivo
at://did:plc:hgwhcylcnnu5fy3jh3uc5d4y/app.bsky.feed.post/3lv2dkimduk2n,bafyreicdpt3nh7trqdf4euycird4nqvlzapcw2gxpr3ivvtbvbvp5fvagu,did:plc:hgwhcylcnnu5fy3jh3uc5d4y,pubbh-ifcvx.bsky.social,Eniyan Dudu ,"A vida imita a arte.
Os mesmos de sempre Gilmarpalooza,Cia ,Mike Pompeo, André Esteves, BTG,  agronegócio, cúpula do congresso, ahhhh ,o Tarcísio (MAGA).
Conspiração a todo o vapor , não é por nada o tiroteio para cima da ABIN.
E detalhe, qual jornaleco fez algumas denúncias?",2025-07-28T19:34:22.131Z,0,0,0,2025-07-28T19:34:23.309Z,['pt'],True,negativo,contexto_positivo
at://did:plc:5decfjaoxwoizuomchevu36b/app.bsky.feed.post/3lv2ccdo3os2r,bafyreift5ztuqjldsxppauldckixdh2ych7ucziudbukq2ma3jpywvif7i,did:plc:5decfjaoxwoizuomchevu36b,climainfo.org.br,Climainfo,"Nos últimos dias, tanto organizações ambientalistas e climáticas, que pedem o veto integral de Lula ao PL, quanto entidades ligadas ao agronegócio e à indústria a favor do projeto enviaram documentos ao Planalto defendendo suas posições.",2025-07-28T19:11:38.000Z,1,0,3,2025-07-28T19:12:00.351Z,['pt'],True,positivo,contexto_positivo
at://did:plc:rpaedmyohnscpcgkrgzcmxuc/app.bsky.feed.post/3lv2bl6gna22j,bafyreidzl4xohq7ag4he7kqcypqefzkhwy66rb4rty6uqfk5ocue7cwu2u,did:plc:rpaedmyohnscpcgkrgzcmxuc,umguilhermeprado.bsky.social,Guilherme Prado,"Criticas ao Lula dá pra fazer várias, mas conseguir tirar o Brasil novamente do mapa da fome é uma proeza incrível, ainda mais tendo os vilões do agronegócio e do congresso nacional que este país tem.",2025-07-28T18:58:57.528Z,0,18,137,2025-07-28T18:58:58.403Z,['pt'],True,positivo,contexto_positivo
at://did:plc:jthw3ss6mgun6s4bhqeyrs4h/app.bsky.feed.post/3lv2657ghcs26,bafyreidy4uy2uq3ci27tnvxpqjnzavywtphcix4a3cwpppeiwbtxm2tlvi,did:plc:jthw3ss6mgun6s4bhqeyrs4h,welbertreis.bsky.social,Welb ☀️🐾♒️🏳️‍🌈🚩,"Ainda assim, considero esse tipo de estratégia muito válida. Que o agronegócio continue inovando dessa forma e não financiando golpes.
Todos saem ganhando: eles vendem mais e com a margem desejada, os empreendedores lucram, e a população consome satisfeita. Acredito que essa é a verdadeira receita.",2025-07-28T17:57:27.584Z,1,0,2,2025-07-28T17:57:28.908Z,['pt'],True,positivo,contexto_positivo
at://did:plc:6iwfq5klg5sc2hywfaimfk3r/app.bsky.feed.post/3luzy7frras2i,bafyreiccukqvfocur2u2pn3lkgc3jxw636kfxzdjgdzyijnx5wcs6hnnjy,did:plc:6iwfq5klg5sc2hywfaimfk3r,deolhonoagro.bsky.social,De Olho nos Ruralistas,"Rodrigo Hilbert costuma ser descrito como homem ideal, faz-tudo.

E ele é também garoto-propaganda do BTG Pactual.
Vamos conhecer melhor o banco, Rodrigo?

Veja em nosso vídeo ""Agrogolpistas""
youtu.be/9PhDqrWj2Nw?...

#DeOlhoNosRuralistas #Agronegócio #Agrogolpistas #Golpe2023",2025-07-28T16:11:18.896Z,0,14,38,2025-07-28T16:11:26.109Z,['pt'],True,neutro,nao_relacionado
at://did:plc:huc54kfiozknlko7qxnj7jgz/app.bsky.feed.post/3luzx4ni2a22j,bafyreie6ga3lswu66wmueyeazwp6v64msg646u2qzfavutl67xhalgxwo4,did:plc:huc54kfiozknlko7qxnj7jgz,yrs-pa.bsky.social,Yago Santos,Teria sido mais rápido se o plano safra não tivesse sendo focado e surrupiado pelo agronegócio ☺️,2025-07-28T15:51:52.569Z,0,1,11,2025-07-28T15:51:53.406Z,['en'],True,positivo,contexto_positivo
at://did:plc:dixohi4mopkrrdm6vjl5q2lz/app.bsky.feed.post/3luzwhb2rfs2e,bafyreigdwvbjgf3g7pdwe5w2u7bwkdgn6o6bab5bruknwklgcehcevgx4i,did:plc:dixohi4mopkrrdm6vjl5q2lz,daniellyaraujom.bsky.social,retuite de escriba do umbral #PEC48NÃO,"⚠️ A capacidade da Amazônia de regular o clima está sob ameaça. ⚠️
 O garimpo e o agronegócio estão destruindo vastas áreas de floresta por lucro rápido.
 Assine para exigir que os líderes globais #RespeitemaAmazônia. act.gp/4bXBU2o",2025-07-28T15:39:54.906Z,0,1,2,2025-07-28T15:39:59.603Z,['pt'],True,negativo,critica_explicita
at://did:plc:tledqi35vmiik4pywehxkt7x/app.bsky.feed.post/3luzvzdp7m225,bafyreihg7v6c3mi6izdssrqm4cc7ccrwqz4xhfm2xsezsqijzdgoemwwza,did:plc:tledqi35vmiik4pywehxkt7x,lindabrasilse.bsky.social,Linda Brasil 🪭,"O NEGACIONISMO AMBIENTAL É REAL! Surreal ver que o Congresso Nacional tem 44 projetos de lei que atacam diretamente o meio ambiente. Além do PL da Devastação, a direita quer passar a boiada do agronegócio contra as terras indígenas e pelo desmatamento na Mata Atlântica. Precisamos impedir isso!",2025-07-28T15:32:07.911Z,0,5,9,2025-07-28T15:32:09.202Z,['pt'],True,negativo,contexto_neutro
at://did:plc:frgta4ideyz37kpt6ym73a4p/app.bsky.feed.post/3luztfcld5c2d,bafyreighxlg2bqea7orkqpgm5i2oiezol47edqwvsaqmtm5fa6yy4c7uga,did:plc:frgta4ideyz37kpt6ym73a4p,gzhdigital-bot.bsky.social,GZH Digital (Não Oficial),Evento nacional realizado em Passo Fundo debate práticas sustentáveis para o agronegócio,2025-07-28T11:45:08-03:00,0,0,0,2025-07-28T14:45:08.804Z,['en'],True,positivo,contexto_positivo
at://did:plc:64qb4it3kahsr6e4kcvqxzg2/app.bsky.feed.post/3luzqhiuens2m,bafyreidmf466gl3344fq2g7rhaprvnyp5tymip5i5ecogi7yqobswh5xp4,did:plc:64qb4it3kahsr6e4kcvqxzg2,carlosmury.bsky.social,Carlos Mury,"O pequeno agricultar é que alimenta o Brasil. É preciso parar de sustentar o agronegócio com dinheiro público. Chega de mamata.
www.brasil247.com/agro/governo...",2025-07-28T13:52:40.636Z,0,2,7,2025-07-28T13:52:46.008Z,['pt'],True,positivo,contexto_positivo
at://did:plc:jjgbki7qx6i3opqqqmksaymb/app.bsky.feed.post/3luzpn6r2e22d,bafyreicoqesh7turgmfghape4dijiy6h7zgmb252n2jsubjhfixoqt7gm4,did:plc:jjgbki7qx6i3opqqqmksaymb,gdi-oficial.bsky.social,Guia do Investidor,Moeda americana sobe após anúncio de pacto comercial e mercado segue atento às ameaças de Donald Trump ao agronegócio brasileiro.,2025-07-28T13:37:56.010Z,0,0,0,2025-07-28T13:37:57.709Z,[],True,positivo,contexto_positivo
at://did:plc:gpapsgios7xwcsum6bdspzyw/app.bsky.feed.post/3luzpamhusc2o,bafyreifzgozwncqqzeut2xiixqgllyoriaclkzpxecxvhzuyt6d45ggjbe,did:plc:gpapsgios7xwcsum6bdspzyw,inxamista.bsky.social,"✨️Doutora Estranha✨️ MD, PhD.",Pergunta sincera: os países da UE podem protestar esse acordo? Porque ele chega a ser fatal para varios setores da indústria e do agronegócio europeu,2025-07-28T13:30:55.798Z,0,0,0,2025-07-28T13:30:57.006Z,['en'],True,negativo,contexto_positivo
